Personal or Business,Business Number,Vehicle Type,Standard or Express,Platform,Cancel Reason,Cancelled by,Placement Day,Placement Time,Confirmation Day,Confirmation Time,Cancellation Day,Cancellation Time,Distance (KM),Pickup Lat,Pickup Long,scheduled
Personal,,Bike,Express,android,Customer error,Staff,1,17:09:04,1,21:31:38,2,7:38:13,5,-1.2908883,36.8266611,OnDemAND
Business,24436,Bike,Express,desktop,No driver has been allocated to my request.,Customer,1,9:11:25,,,1,9:22:20,11,-1.3200189,36.8450551,OnDemAND
Business,52840,Bike,Express,desktop,Customer error,Staff,1,14:55:41,1,14:56:01,1,15:02:22,2,-1.2743047,36.8060744,OnDemAND
Business,29236,Bike,Express,desktop,No driver has been allocated to my request.,Customer,1,8:18:02,1,8:18:43,1,8:23:03,9,-1.3047062,36.8231410,OnDemAND
Business,52840,Bike,Express,desktop,My order is not ready.,Customer,1,14:54:00,1,14:54:10,1,14:54:14,2,-1.2748047,36.8029744,OnDemAND
Personal,,Bike,Express,ios,Customer error,Staff,1,7:35:13,1,7:35:41,1,8:04:04,7,-1.2949517,36.7667310,OnDemAND
Personal,,Bike,Express,desktop,I placed the wrong locations.,Customer,1,17:26:25,,,3,8:57:45,9,-1.3243420,36.7157650,Scheduled
Personal,,Bike,Standard,ios,No Partner,Staff,1,14:21:08,1,15:31:49,1,15:47:48,11,-1.2949535,36.8089136,OnDemAND
Personal,,Bike,Express,android,My order is not ready.,Customer,1,10:59:39,,,1,10:59:50,49,-1.5237320,37.1225610,OnDemAND
Personal,,Bike,Standard,ios,My order is not ready.,Customer,1,13:31:20,,,1,13:31:29,1,-1.2898830,36.7825840,OnDemAND
Personal,,Bike,Express,android,I placed the wrong locations.,Customer,1,21:45:49,,,1,21:46:00,167,-0.0928016,34.7636568,OnDemAND
Business,20632,Bike,Express,android,No driver has been allocated to my request.,Customer,1,15:50:04,,,1,15:52:44,17,-1.2332722,36.8771717,OnDemAND
Personal,,Bike,Standard,android,No driver has been allocated to my request.,Customer,1,16:09:04,,,1,16:09:25,8,-1.2616457,36.7916795,OnDemAND
Personal,,Bike,Express,android,No driver has been allocated to my request.,Customer,1,8:36:50,,,1,9:15:11,4,-1.3121747,36.8119588,OnDemAND
Business,57544,Bike,Standard,API,No Partner,Staff,1,17:42:28,1,17:52:53,1,19:02:23,6,-1.3062770,36.7795300,OnDemAND
Personal,,Bike,Standard,ios,Customer error,Staff,1,9:50:37,1,10:20:31,1,11:36:59,8,-1.2515446,36.7978952,OnDemAND
Personal,,Bike,Express,ios,I placed the wrong locations.,Customer,1,12:44:00,1,12:44:15,1,12:45:20,21,-1.2951830,36.7758840,OnDemAND
Personal,,Bike,Standard,android,My order is not ready.,Customer,1,15:22:08,,,1,15:22:17,25,-1.2807494,36.7729783,OnDemAND
Personal,,Bike,Standard,android,My order is not ready.,Customer,1,11:37:18,,,1,11:44:12,6,-1.2692247,36.8035636,OnDemAND
Business,27184,Bike,Standard,desktop,No driver has been allocated to my request.,Customer,1,13:02:37,1,13:04:23,1,13:50:24,8,-1.2626638,36.7998399,OnDemAND
Personal,,Bike,Express,android,I placed the wrong locations.,Customer,1,9:52:11,1,9:52:47,1,10:00:29,11,-1.3131734,36.7404698,OnDemAND
Personal,,Bike,Express,android,I placed the wrong locations.,Customer,1,15:30:04,,,1,15:30:11,5,-1.3285716,36.8405371,OnDemAND
Personal,,Bike,Standard,android,No Partner,Staff,1,16:11:51,1,16:53:50,1,17:21:35,7,-1.2561800,36.8061860,OnDemAND
Personal,,Bike,Standard,ios,No Partner,Staff,1,13:04:38,,,1,20:33:13,23,-1.3229323,36.6951758,OnDemAND
Business,24436,Bike,Express,desktop,No driver has been allocated to my request.,Customer,1,9:48:06,,,1,10:24:58,8,-1.3242189,36.8436551,OnDemAND
Personal,,Bike,Standard,android,The driver is too far away.,Customer,1,16:13:55,1,16:20:48,1,16:30:57,8,-1.2693457,36.7915795,OnDemAND
Personal,,Bike,Standard,android,No driver has been allocated to my request.,Customer,1,13:08:39,,,1,13:09:37,4,-1.2697757,36.8063592,OnDemAND
Personal,,Bike,Express,android,No driver has been allocated to my request.,Customer,1,7:44:21,,,1,8:01:04,4,-1.3109747,36.8162588,OnDemAND
Business,17968,Bike,Express,desktop,My order is not ready.,Customer,1,14:50:11,,,1,16:21:56,16,-1.3971008,36.7669445,OnDemAND
Business,56992,Bike,Express,desktop,No driver has been allocated to my request.,Customer,1,15:22:28,1,15:22:37,1,15:22:41,26,-1.3227449,36.8995055,OnDemAND
Personal,,Bike,Standard,ios,My order is not ready.,Customer,1,11:14:01,,,1,11:14:13,1,-1.2975830,36.7846840,OnDemAND
Personal,,Bike,Express,android,I placed the wrong locations.,Customer,1,20:16:15,1,20:16:30,1,20:17:03,3,-1.2864045,36.7711096,OnDemAND
Personal,,Bike,Express,android,No driver has been allocated to my request.,Customer,1,8:01:32,,,1,8:09:29,4,-1.3040747,36.8078588,OnDemAND
Personal,,Bike,Standard,android,No Partner,Staff,1,18:16:49,1,18:26:25,1,19:22:46,4,-1.2680018,36.8735449,OnDemAND
Personal,,Bike,Express,android,No driver has been allocated to my request.,Customer,1,8:10:04,,,1,8:32:57,4,-1.3033747,36.8115588,OnDemAND
Business,20764,Bike,Express,desktop,I placed the wrong locations.,Customer,1,17:12:40,1,17:14:51,1,17:17:35,4,-1.3061639,36.8092037,OnDemAND
Business,23332,Bike,Express,android,No driver has been allocated to my request.,Customer,1,10:15:31,,,1,10:16:54,6,-1.3196560,36.8151286,OnDemAND
Business,23332,Bike,Express,android,The driver is too far away.,Customer,1,10:18:47,,,1,10:26:11,6,-1.3161560,36.8172286,OnDemAND
Personal,,Bike,Express,android,The driver is too far away.,Customer,1,16:27:46,,,1,16:30:10,8,-1.2606457,36.7897795,OnDemAND
Personal,,Bike,Standard,android,No driver has been allocated to my request.,Customer,1,9:50:52,,,1,9:57:17,17,-1.2969154,36.8014489,OnDemAND
Personal,,Bike,Standard,android,No driver has been allocated to my request.,Customer,1,10:37:32,,,1,10:48:28,6,-1.2922868,36.7902675,OnDemAND
Business,17968,Bike,Express,desktop,I placed the wrong locations.,Customer,1,11:29:35,,,1,11:29:42,7,-1.2625838,36.8117481,OnDemAND
Business,10780,Bike,Standard,desktop,No driver has been allocated to my request.,Customer,1,12:41:04,,,1,12:41:11,10,-1.2582605,36.8018777,OnDemAND
Business,14992,Bike,Express,desktop,No driver has been allocated to my request.,Customer,1,16:14:23,1,16:15:29,1,16:55:16,7,-1.2199477,36.8423295,OnDemAND
Personal,,Bike,Standard,android,No driver has been allocated to my request.,Customer,1,10:06:27,,,1,10:11:05,16,-1.2212162,36.9034379,OnDemAND
Business,29236,Bike,Express,desktop,No driver has been allocated to my request.,Customer,1,8:22:12,,,1,8:41:39,8,-1.2986062,36.8266410,OnDemAND
Personal,,Bike,Express,android,No driver has been allocated to my request.,Customer,1,21:29:37,,,1,21:30:29,3,-1.2623837,36.8927847,OnDemAND
Business,40300,Bike,Express,desktop,No driver has been allocated to my request.,Customer,1,12:21:35,,,1,13:27:12,17,-1.2855150,36.9017070,OnDemAND
Business,20680,Bike,Express,desktop,My order is not ready.,Customer,1,12:40:41,,,1,12:53:17,6,-1.2554838,36.8423300,OnDemAND
Business,20680,Bike,Express,desktop,My order is not ready.,Customer,1,13:58:57,,,1,14:06:25,20,-1.2149006,36.8874865,OnDemAND
Personal,,Bike,Standard,android,The driver is too far away.,Customer,1,16:31:45,,,1,16:32:53,8,-1.2598457,36.7921795,OnDemAND
Personal,,Bike,Express,android,No driver has been allocated to my request.,Customer,1,14:58:21,,,1,14:59:25,14,-1.3245992,36.7805132,OnDemAND
Personal,,Bike,Standard,android,No driver has been allocated to my request.,Customer,1,16:06:54,,,1,16:08:38,8,-1.2675457,36.7900795,OnDemAND
Business,52840,Bike,Express,desktop,No Partner,Staff,1,12:14:34,1,12:15:33,1,13:26:13,12,-1.2744047,36.8028744,OnDemAND
Business,20680,Bike,Express,desktop,My order is not ready.,Customer,1,14:30:06,1,14:30:50,1,14:32:34,3,-1.2836950,36.8213640,OnDemAND
Business,57544,Bike,Standard,API,No Partner,Staff,1,17:41:53,1,17:52:53,1,19:02:02,6,-1.3060770,36.7781300,OnDemAND
Business,20680,Bike,Express,desktop,No Partner,Staff,1,10:10:22,,,2,3:00:00,7,-1.2637895,36.7865034,Scheduled
Business,32692,Bike,Express,API,No Partner,Staff,1,18:02:08,1,19:10:57,1,19:15:02,0,-1.3259904,36.8707943,OnDemAND
Business,20680,Bike,Standard,desktop,No Partner,Staff,1,13:11:22,1,13:26:53,1,14:59:00,20,-1.2650472,36.7938633,OnDemAND
Personal,,Bike,Standard,android,No driver has been allocated to my request.,Customer,1,15:03:48,,,1,15:16:52,13,-1.2379180,36.8702240,OnDemAND
Personal,,Bike,Standard,android,No Partner,Staff,1,17:13:20,,,2,3:00:01,18,-1.3452066,36.7600638,OnDemAND
Personal,,Bike,Standard,android,No Partner,Staff,1,14:20:33,1,15:13:49,1,15:29:38,15,-1.2161260,36.8820938,OnDemAND
Business,27436,Bike,Standard,desktop,Delay,Staff,1,8:05:44,1,8:41:41,1,9:44:38,7,-1.2567940,36.8061240,OnDemAND
Personal,,Bike,Standard,ios,No Partner,Staff,1,8:27:54,1,8:41:41,1,8:53:11,8,-1.2547486,36.7859541,OnDemAND
Personal,,Bike,Standard,android,Delay,Staff,1,17:14:59,,,1,19:24:32,6,-1.2876890,36.8309900,OnDemAND
Business,20680,Bike,Standard,desktop,Customer error,Staff,1,15:05:17,1,16:21:47,1,16:50:16,9,-1.2636895,36.7881034,OnDemAND
Business,32692,Bike,Express,API,Customer error,Staff,1,15:22:31,1,15:30:36,1,15:49:35,0,-1.3314904,36.8755943,OnDemAND
Personal,,Bike,Standard,android,No driver has been allocated to my request.,Customer,1,15:22:25,,,1,15:22:37,1,-1.2569828,36.8068538,OnDemAND
Business,20680,Bike,Express,desktop,I placed the wrong locations.,Customer,1,9:00:48,1,9:02:53,1,9:23:08,7,-1.2593895,36.7851034,OnDemAND
Personal,,Bike,Express,android,No driver has been allocated to my request.,Customer,1,14:16:48,,,1,14:18:08,16,-1.2838544,36.8158978,OnDemAND
Personal,,Bike,Express,desktop,Customer error,Staff,1,11:06:00,1,11:06:17,1,17:19:56,0,-1.3015066,36.7757423,OnDemAND
Business,29236,Bike,Express,desktop,No driver has been allocated to my request.,Customer,1,14:39:05,1,14:40:02,1,15:20:31,5,-1.3089062,36.8287410,OnDemAND
Personal,,Bike,Standard,android,I placed the wrong locations.,Customer,1,7:45:20,1,9:56:45,1,10:33:03,16,-1.2047151,36.9080940,OnDemAND
Business,17968,Bike,Express,desktop,My order is not ready.,Customer,1,12:35:07,1,12:35:38,1,12:37:11,17,-1.3037210,36.8303950,OnDemAND
Business,20680,Bike,Express,android,My order is not ready.,Customer,1,12:13:43,1,12:37:13,1,13:00:13,12,-1.2048728,36.8707319,OnDemAND
Personal,,Bike,Standard,ios,No driver has been allocated to my request.,Customer,1,14:31:15,1,14:56:57,1,15:49:50,17,-1.2233436,36.8555778,OnDemAND
Business,20680,Bike,Express,desktop,My order is not ready.,Customer,1,16:10:43,1,16:10:55,1,16:34:51,9,-1.3079264,36.8198123,OnDemAND
Personal,,Bike,Express,android,My order is not ready.,Customer,1,21:25:21,,,1,21:26:19,1,-1.2777465,36.8262074,OnDemAND
Business,32692,Bike,Express,API,No Partner,Staff,1,12:52:22,1,12:57:03,1,13:10:51,0,-1.3283904,36.8764943,OnDemAND
Personal,,Bike,Standard,android,No driver has been allocated to my request.,Customer,1,14:56:41,,,1,14:57:51,2,-1.3039782,36.8250528,OnDemAND
Personal,,Bike,Standard,android,No Partner,Staff,1,19:21:26,,,2,3:00:00,21,-1.3191958,36.8805553,OnDemAND
Business,20680,Bike,Standard,desktop,No Partner,Staff,1,13:01:16,1,13:26:53,2,14:23:07,4,-1.2597895,36.7898034,OnDemAND
Business,14992,Bike,Express,desktop,No driver has been allocated to my request.,Customer,1,14:30:02,1,14:30:31,1,14:37:50,17,-1.2624903,36.8048137,OnDemAND
Personal,,Bike,Standard,android,The driver is too far away.,Customer,1,15:51:10,1,16:12:44,1,16:17:29,9,-1.2625464,36.7925273,OnDemAND
Business,32692,Bike,Express,API,Customer error,Staff,1,15:42:43,1,15:51:38,1,16:10:13,0,-1.3285904,36.8768943,OnDemAND
Personal,,Bike,Express,android,I placed the wrong locations.,Customer,1,21:28:26,,,1,21:28:51,7,-1.3300674,36.6706845,OnDemAND
Personal,,Bike,Express,android,My order is not ready.,Customer,1,12:14:55,,,1,12:15:01,42,-1.2228006,36.8905865,OnDemAND
Business,30244,Bike,Express,desktop,My order is not ready.,Customer,1,9:52:44,1,9:54:37,1,10:07:32,2,-1.3052062,36.8229410,OnDemAND
Personal,,Bike,Express,android,No driver has been allocated to my request.,Customer,1,13:57:29,,,1,14:00:25,5,-1.2863812,36.8211142,OnDemAND
Business,57664,Bike,Express,desktop,No Partner,Staff,1,13:22:35,1,13:40:07,1,14:05:00,11,-1.3401066,36.7663638,OnDemAND
Personal,,Bike,Standard,ios,The driver is too far away.,Customer,1,14:26:07,1,14:27:04,1,15:39:01,9,-1.2998061,36.7560148,OnDemAND
Personal,,Bike,Express,android,I placed the wrong locations.,Customer,1,21:50:26,,,1,21:50:40,7,-1.3330674,36.6781845,OnDemAND
Personal,,Bike,Standard,android,I placed the wrong locations.,Customer,1,17:44:38,,,1,17:49:25,21,-1.3301459,36.8868432,OnDemAND
Personal,,Bike,Standard,android,No Partner,Staff,1,12:20:48,1,14:10:02,5,18:35:10,5,-1.2889387,36.7970292,Scheduled
Personal,,Bike,Standard,android,No Partner,Staff,1,12:20:07,1,12:57:16,1,13:37:17,8,-1.3130609,36.8114365,OnDemAND
Personal,,Bike,Standard,android,No Partner,Staff,1,18:57:41,,,2,3:00:00,21,-1.3182958,36.8755553,OnDemAND
Personal,,Bike,Standard,android,I placed the wrong locations.,Customer,1,9:51:13,1,10:42:28,1,11:25:27,15,-1.2612464,36.7908273,OnDemAND
Personal,,Bike,Standard,android,The driver is too far away.,Customer,1,14:23:56,,,1,14:24:15,10,-1.3132585,36.8120065,OnDemAND
Business,17968,Bike,Express,desktop,My order is not ready.,Customer,1,17:01:15,1,17:02:26,1,17:07:03,2,-1.3040210,36.8348950,OnDemAND
Business,32692,Bike,Express,API,No Partner,Staff,1,10:59:05,1,11:00:35,1,11:19:57,0,-1.3330904,36.8737943,OnDemAND
Business,26368,Bike,Express,desktop,No Partner,Staff,1,15:15:56,,,2,3:00:01,6,-1.2980108,36.7814135,OnDemAND
Business,20680,Bike,Express,ios,I placed the wrong locations.,Customer,1,10:25:54,,,1,10:27:11,38,-1.2080460,36.7972976,OnDemAND
Business,20680,Bike,Express,ios,I placed the wrong locations.,Customer,1,10:28:01,,,1,10:28:57,38,-1.2153460,36.7940976,OnDemAND
Personal,,Bike,Standard,ios,No Partner,Staff,1,16:29:03,2,8:29:49,2,9:09:13,21,-1.3708766,36.7452254,Scheduled
Personal,,Bike,Standard,desktop,My order is not ready.,Customer,1,10:14:06,1,10:42:28,1,11:55:13,2,-1.2652058,36.8073903,OnDemAND
Business,32692,Bike,Express,API,No Partner,Staff,1,9:50:05,1,9:51:27,1,10:12:08,0,-1.3240904,36.8737943,OnDemAND
Business,29296,Bike,Express,desktop,No driver has been allocated to my request.,Customer,1,10:01:37,,,1,10:02:34,8,-1.2654574,36.8073034,OnDemAND
Business,20680,Bike,Express,desktop,No driver has been allocated to my request.,Customer,1,9:23:31,,,1,10:48:39,7,-1.2530895,36.7868034,OnDemAND
Business,30244,Bike,Express,desktop,My order is not ready.,Customer,1,14:57:57,,,1,14:58:05,2,-1.2984062,36.8219410,OnDemAND
Personal,,Bike,Standard,android,No driver has been allocated to my request.,Customer,1,16:22:44,,,1,16:27:27,4,-1.2586286,36.7993511,OnDemAND
Business,19924,Bike,Standard,desktop,No Partner,Staff,1,18:31:01,,,2,3:00:00,22,-1.2221006,36.8937865,OnDemAND
Business,32692,Bike,Express,API,Customer error,Staff,1,11:04:37,,,1,11:35:16,0,-1.3297904,36.8696943,OnDemAND
Personal,,Bike,Standard,ios,No Partner,Staff,1,15:56:25,1,16:12:29,2,3:00:01,3,-1.2955445,36.7529778,OnDemAND
Business,20680,Bike,Express,desktop,No Partner,Staff,1,18:04:43,2,9:24:33,2,10:00:09,21,-1.2532895,36.7803034,Scheduled
Business,20680,Bike,Express,desktop,My order is not ready.,Customer,1,9:35:31,1,9:36:09,1,10:02:44,6,-1.2812029,36.8287050,OnDemAND
Personal,,Bike,Standard,ios,The driver is too far away.,Customer,1,10:36:07,1,10:42:28,1,12:05:15,11,-1.2112886,36.8492061,OnDemAND
Personal,,Bike,Standard,android,My order is not ready.,Customer,1,16:09:22,,,1,16:09:31,6,-1.2932846,36.7991591,OnDemAND
Business,32692,Bike,Express,API,No Partner,Staff,1,18:02:12,,,2,3:00:00,0,-1.3287904,36.8676943,OnDemAND
Business,18508,Bike,Express,desktop,My order is not ready.,Customer,1,9:19:48,,,1,9:20:24,3,-1.3007097,36.7754221,OnDemAND
Personal,,Bike,Standard,android,No driver has been allocated to my request.,Customer,1,11:50:52,,,1,11:54:04,8,-1.2524066,36.7831622,OnDemAND
Business,17968,Bike,Express,desktop,My order is not ready.,Customer,1,15:37:12,1,15:37:40,1,15:44:01,8,-1.3066210,36.8305950,OnDemAND
Personal,,Bike,Standard,android,I placed the wrong locations.,Customer,1,19:16:36,,,1,19:36:57,10,-1.3281900,36.8534727,OnDemAND
Personal,,Bike,Standard,android,The driver is too far away.,Customer,1,15:37:11,1,15:55:28,1,16:05:21,19,-1.2892232,36.7705572,OnDemAND
Business,32692,Bike,Express,API,Customer error,Staff,1,15:42:23,,,1,16:10:56,0,-1.3236904,36.8663943,OnDemAND
Personal,,Bike,Standard,ios,The driver is too far away.,Customer,1,16:33:17,2,8:29:50,2,8:31:59,21,-1.3732766,36.7492254,Scheduled
Business,17968,Bike,Express,desktop,Customer error,Staff,1,11:07:13,1,12:03:24,1,13:08:36,5,-1.3091210,36.8302950,OnDemAND
Business,39448,Bike,Express,desktop,No driver has been allocated to my request.,Customer,1,10:27:55,,,1,10:28:40,48,-1.2633666,36.8006369,OnDemAND
Personal,,Bike,Standard,ios,No Partner,Staff,1,9:46:42,2,7:58:00,2,10:11:42,3,-1.2849195,36.7951316,Scheduled
Business,39592,Bike,Express,desktop,I placed the wrong locations.,Customer,1,9:46:39,,,1,9:48:49,11,-1.2841931,36.6662229,OnDemAND
Business,20680,Bike,Express,android,The driver is too far away.,Customer,1,6:57:21,1,7:35:02,1,7:56:30,17,-1.3467066,36.7695638,OnDemAND
Business,23092,Bike,Express,desktop,No driver has been allocated to my request.,Customer,1,9:43:45,1,9:45:22,1,9:45:23,14,-1.3048741,36.7841612,OnDemAND
Business,39448,Bike,Express,android,My order is not ready.,Customer,1,10:19:27,,,1,10:19:40,48,-1.2612638,36.8085399,OnDemAND
Personal,,Bike,Standard,android,I placed the wrong locations.,Customer,1,15:46:00,,,1,15:46:26,8,-1.2972832,36.7935683,OnDemAND
Business,29236,Bike,Express,desktop,My order is not ready.,Customer,1,12:17:24,1,12:23:22,1,12:39:10,11,-1.3247113,36.8375563,OnDemAND
Personal,,Bike,Standard,android,No driver has been allocated to my request.,Customer,1,12:19:01,,,1,12:19:59,9,-1.2720316,36.7886222,OnDemAND
Personal,,Bike,Standard,android,No driver has been allocated to my request.,Customer,1,9:47:05,,,1,9:56:34,9,-1.3109855,36.8314847,OnDemAND
Business,39448,Bike,Express,desktop,No driver has been allocated to my request.,Customer,1,10:24:12,,,1,10:25:02,48,-1.2583666,36.8059369,OnDemAND
Business,29236,Bike,Express,desktop,I placed the wrong locations.,Customer,1,12:53:04,1,13:21:24,1,13:21:29,4,-1.3058869,36.8445207,OnDemAND
Personal,,Bike,Standard,android,I placed the wrong locations.,Customer,1,9:39:44,,,1,10:08:50,21,-1.3229125,36.7092150,OnDemAND
Personal,,Bike,Standard,android,No driver has been allocated to my request.,Customer,1,8:37:51,,,1,9:16:56,2,-1.2675028,36.8079849,OnDemAND
Personal,,Bike,Standard,android,No Partner,Staff,1,11:33:45,,,2,3:00:01,20,-1.2767250,36.8101060,OnDemAND
Personal,,Bike,Express,android,My order is not ready.,Customer,1,9:13:53,,,1,9:16:39,6,-1.2732370,36.7961120,OnDemAND
Business,13804,Bike,Standard,android,No Partner,Staff,1,11:38:23,,,2,3:00:01,19,-1.3665481,36.7459259,OnDemAND
Personal,,Bike,Express,desktop,No Partner,Staff,1,12:48:02,1,12:48:34,1,13:01:10,1,-1.2998097,36.7712221,OnDemAND
Personal,,Bike,Standard,android,I placed the wrong locations.,Customer,1,12:20:39,,,1,12:20:52,3,-1.2646414,36.7761019,OnDemAND
Business,20680,Bike,Express,desktop,My order is not ready.,Customer,1,9:45:54,,,1,9:46:09,23,-1.2607472,36.7961633,OnDemAND
Personal,,Bike,Standard,android,No Partner,Staff,1,11:31:06,,,2,3:00:01,13,-1.3264394,36.7774343,OnDemAND
Business,39592,Bike,Express,desktop,No driver has been allocated to my request.,Customer,1,8:31:04,1,8:39:34,1,9:46:12,11,-1.2828931,36.6673229,OnDemAND
Personal,,Bike,Standard,ios,No driver has been allocated to my request.,Customer,1,10:31:22,,,1,10:32:20,16,-1.2183867,36.8127391,OnDemAND
Personal,,Bike,Standard,desktop,No Partner,Staff,1,11:22:42,1,12:11:58,1,14:49:39,9,-1.2667819,36.7965694,OnDemAND
Business,29236,Bike,Express,desktop,My order is not ready.,Customer,1,8:52:27,1,8:55:19,1,9:04:29,8,-1.3196113,36.8377563,OnDemAND
Personal,,Bike,Standard,android,I placed the wrong locations.,Customer,1,12:22:08,,,1,12:22:16,14,-1.2661414,36.7771019,OnDemAND
Business,20680,Bike,Express,desktop,My order is not ready.,Customer,1,11:32:43,,,1,11:36:58,16,-1.2155460,36.7978976,OnDemAND
Personal,,Bike,Standard,ios,No driver has been allocated to my request.,Customer,1,11:32:13,,,1,11:33:42,16,-1.2196867,36.8171391,OnDemAND
Personal,,Bike,Standard,android,The driver is too far away.,Customer,1,11:39:17,1,11:41:31,1,11:47:38,17,-1.3582657,36.9017028,OnDemAND
Personal,,Bike,Standard,android,No driver has been allocated to my request.,Customer,1,9:39:13,,,1,9:46:16,9,-1.3099855,36.8235847,OnDemAND
Personal,,Bike,Standard,android,My order is not ready.,Customer,1,13:30:39,,,1,13:30:54,18,-1.2659677,36.9137336,OnDemAND
Personal,,Bike,Standard,android,No driver has been allocated to my request.,Customer,1,9:17:24,,,1,9:23:46,2,-1.2639028,36.8024849,OnDemAND
Personal,,Bike,Standard,android,No driver has been allocated to my request.,Customer,1,6:29:33,,,1,6:41:04,15,-1.2175451,36.9137352,OnDemAND
Business,20680,Bike,Standard,ios,No driver has been allocated to my request.,Customer,1,12:32:19,1,13:25:58,1,16:43:38,3,-1.2663980,36.7955830,OnDemAND
