personal_or_business,business_number,vehicle_type,standard_or_express,platform,cancel_reason,cancelled_by,placement_day,placement_time,confirmation_day,confirmation_time,cancellation_day,cancellation_time,distance_(km),pickup_lat,pickup_long,scheduled
Business,52840.0,Bike,Express,desktop,I placed the wrong locations.,Customer,1,14:52:03,1,,1,14:52:18,2,-1.2741046999999999,36.8023744,OnDemAND
Personal,-1.0,Bike,Express,android,I placed the wrong locations.,Customer,1,10:35:00,1,10:36:08,1,10:36:18,0,-1.27301,36.88362,OnDemAND
Business,20680.0,Bike,Standard,desktop,No Partner,Staff,2,15:09:54,2,15:27:58,2,03:00:00,20,-1.2563472,36.8002633,OnDemAND
Personal,-1.0,Bike,Standard,ios,No Partner,Staff,1,09:42:43,1,10:20:30,1,11:33:52,8,-1.2464446000000002,36.79149520000001,OnDemAND
Business,40300.0,Bike,Express,desktop,No driver has been allocated to my request.,Customer,1,13:11:29,1,,1,13:18:31,8,-1.272528,36.816108,OnDemAND
Business,32692.0,Bike,Express,API,Customer error,Staff,1,15:27:41,1,,1,15:36:08,0,-1.3236903999999998,36.8737943,OnDemAND
Business,57784.0,Bike,Express,desktop,I placed the wrong locations.,Customer,1,11:39:07,1,11:40:09,1,11:50:07,7,-1.2855919,36.77266289999999,OnDemAND
Personal,-1.0,Bike,Express,android,No driver has been allocated to my request.,Customer,1,15:23:41,1,,1,15:26:42,24,-1.2938351000000001,36.6906435,OnDemAND
Business,56992.0,Bike,Express,desktop,No driver has been allocated to my request.,Customer,1,16:03:24,1,,1,16:18:24,26,-1.3271449,36.8980055,OnDemAND
Personal,-1.0,Bike,Express,android,No driver has been allocated to my request.,Customer,1,15:21:25,1,,1,15:21:34,42,-1.1354423,36.768921,OnDemAND
Personal,-1.0,Bike,Standard,android,My order is not ready.,Customer,1,10:43:22,1,,1,10:43:33,13,-1.3226958,36.886055299999995,OnDemAND
Business,22996.0,Bike,Standard,android,No Partner,Staff,1,09:58:26,1,,1,10:02:35,5,-1.3242826,36.8903315,OnDemAND
Personal,-1.0,Bike,Express,android,The driver is too far away.,Customer,1,12:21:46,1,,1,12:23:06,7,-1.2981530000000001,36.796258,OnDemAND
Personal,-1.0,Bike,Standard,desktop,My order is not ready.,Customer,1,17:47:26,1,,1,17:47:54,7,-1.3020066000000001,36.76984229999999,OnDemAND
Personal,-1.0,Bike,Express,android,I placed the wrong locations.,Customer,1,19:22:37,1,,1,19:44:54,18,-1.2777121,36.88256079999999,OnDemAND
Personal,-1.0,Bike,Express,android,No driver has been allocated to my request.,Customer,1,10:19:07,1,10:20:03,1,10:21:24,23,-1.2743114,36.8111191,OnDemAND
Business,23728.0,Bike,Standard,desktop,My order is not ready.,Customer,1,11:02:04,1,,1,11:02:19,22,-1.2639895,36.7824034,OnDemAND
Business,20680.0,Bike,Express,desktop,No Partner,Staff,2,10:32:37,2,15:51:55,2,03:00:00,6,-1.2644895,36.7847034,Scheduled
Personal,-1.0,Bike,Standard,android,No driver has been allocated to my request.,Customer,1,13:28:44,1,,1,13:36:53,7,-1.3198393999999998,36.827321000000005,OnDemAND
Business,57544.0,Bike,Standard,API,No Partner,Staff,1,17:46:28,1,19:09:26,1,19:14:45,6,-1.298677,36.78333,OnDemAND
Personal,-1.0,Bike,Express,android,Customer error,Staff,2,17:09:04,2,21:31:38,2,07:38:13,5,-1.2908883,36.8266611,OnDemAND
Business,24436.0,Bike,Express,desktop,No driver has been allocated to my request.,Customer,1,09:11:25,1,,1,09:22:20,11,-1.3200188999999998,36.8450551,OnDemAND
Business,52840.0,Bike,Express,desktop,Customer error,Staff,1,14:55:41,1,14:56:01,1,15:02:22,2,-1.2743046999999998,36.8060744,OnDemAND
Business,29236.0,Bike,Express,desktop,No driver has been allocated to my request.,Customer,1,08:18:02,1,08:18:43,1,08:23:03,9,-1.3047062,36.823141,OnDemAND
Business,52840.0,Bike,Express,desktop,My order is not ready.,Customer,1,14:54:00,1,14:54:10,1,14:54:14,2,-1.2748046999999998,36.802974400000004,OnDemAND
Personal,-1.0,Bike,Express,ios,Customer error,Staff,1,07:35:13,1,07:35:41,1,08:04:04,7,-1.2949517,36.766731,OnDemAND
Personal,-1.0,Bike,Express,desktop,I placed the wrong locations.,Customer,3,17:26:25,3,,3,08:57:45,9,-1.324342,36.715765000000005,Scheduled
Personal,-1.0,Bike,Standard,ios,No Partner,Staff,1,14:21:08,1,15:31:49,1,15:47:48,11,-1.2949535,36.8089136,OnDemAND
Personal,-1.0,Bike,Express,android,My order is not ready.,Customer,1,10:59:39,1,,1,10:59:50,49,-1.5237319999999999,37.122561,OnDemAND
Personal,-1.0,Bike,Standard,ios,My order is not ready.,Customer,1,13:31:20,1,,1,13:31:29,1,-1.289883,36.782584,OnDemAND
Personal,-1.0,Bike,Express,android,I placed the wrong locations.,Customer,1,21:45:49,1,,1,21:46:00,167,-0.09280160000000001,34.7636568,OnDemAND
Business,20632.0,Bike,Express,android,No driver has been allocated to my request.,Customer,1,15:50:04,1,,1,15:52:44,17,-1.2332722,36.8771717,OnDemAND
Personal,-1.0,Bike,Standard,android,No driver has been allocated to my request.,Customer,1,16:09:04,1,,1,16:09:25,8,-1.2616457,36.7916795,OnDemAND
Personal,-1.0,Bike,Express,android,No driver has been allocated to my request.,Customer,1,08:36:50,1,,1,09:15:11,4,-1.3121747,36.8119588,OnDemAND
Business,57544.0,Bike,Standard,API,No Partner,Staff,1,17:42:28,1,17:52:53,1,19:02:23,6,-1.3062770000000001,36.77953,OnDemAND
Personal,-1.0,Bike,Standard,ios,Customer error,Staff,1,09:50:37,1,10:20:31,1,11:36:59,8,-1.2515446000000001,36.797895200000006,OnDemAND
Personal,-1.0,Bike,Express,ios,I placed the wrong locations.,Customer,1,12:44:00,1,12:44:15,1,12:45:20,21,-1.295183,36.775884000000005,OnDemAND
Personal,-1.0,Bike,Standard,android,My order is not ready.,Customer,1,15:22:08,1,,1,15:22:17,25,-1.2807494,36.7729783,OnDemAND
Personal,-1.0,Bike,Standard,android,My order is not ready.,Customer,1,11:37:18,1,,1,11:44:12,6,-1.2692246999999999,36.8035636,OnDemAND
Business,27184.0,Bike,Standard,desktop,No driver has been allocated to my request.,Customer,1,13:02:37,1,13:04:23,1,13:50:24,8,-1.2626638000000001,36.799839899999995,OnDemAND
Personal,-1.0,Bike,Express,android,I placed the wrong locations.,Customer,1,09:52:11,1,09:52:47,1,10:00:29,11,-1.3131734,36.7404698,OnDemAND
Personal,-1.0,Bike,Express,android,I placed the wrong locations.,Customer,1,15:30:04,1,,1,15:30:11,5,-1.3285716,36.840537100000006,OnDemAND
Personal,-1.0,Bike,Standard,android,No Partner,Staff,1,16:11:51,1,16:53:50,1,17:21:35,7,-1.2561799999999999,36.806186,OnDemAND
Personal,-1.0,Bike,Standard,ios,No Partner,Staff,1,13:04:38,1,,1,20:33:13,23,-1.3229323,36.695175799999994,OnDemAND
Business,24436.0,Bike,Express,desktop,No driver has been allocated to my request.,Customer,1,09:48:06,1,,1,10:24:58,8,-1.3242188999999998,36.84365510000001,OnDemAND
Personal,-1.0,Bike,Standard,android,The driver is too far away.,Customer,1,16:13:55,1,16:20:48,1,16:30:57,8,-1.2693457000000001,36.7915795,OnDemAND
Personal,-1.0,Bike,Standard,android,No driver has been allocated to my request.,Customer,1,13:08:39,1,,1,13:09:37,4,-1.2697757,36.8063592,OnDemAND
Personal,-1.0,Bike,Express,android,No driver has been allocated to my request.,Customer,1,07:44:21,1,,1,08:01:04,4,-1.3109747,36.8162588,OnDemAND
Business,17968.0,Bike,Express,desktop,My order is not ready.,Customer,1,14:50:11,1,,1,16:21:56,16,-1.3971008,36.7669445,OnDemAND
Business,56992.0,Bike,Express,desktop,No driver has been allocated to my request.,Customer,1,15:22:28,1,15:22:37,1,15:22:41,26,-1.3227448999999998,36.8995055,OnDemAND
Personal,-1.0,Bike,Standard,ios,My order is not ready.,Customer,1,11:14:01,1,,1,11:14:13,1,-1.297583,36.784684000000006,OnDemAND
Personal,-1.0,Bike,Express,android,I placed the wrong locations.,Customer,1,20:16:15,1,20:16:30,1,20:17:03,3,-1.2864045,36.7711096,OnDemAND
Personal,-1.0,Bike,Express,android,No driver has been allocated to my request.,Customer,1,08:01:32,1,,1,08:09:29,4,-1.3040747,36.8078588,OnDemAND
Personal,-1.0,Bike,Standard,android,No Partner,Staff,1,18:16:49,1,18:26:25,1,19:22:46,4,-1.2680018,36.8735449,OnDemAND
Personal,-1.0,Bike,Express,android,No driver has been allocated to my request.,Customer,1,08:10:04,1,,1,08:32:57,4,-1.3033747,36.8115588,OnDemAND
Business,20764.0,Bike,Express,desktop,I placed the wrong locations.,Customer,1,17:12:40,1,17:14:51,1,17:17:35,4,-1.3061638999999998,36.8092037,OnDemAND
Business,23332.0,Bike,Express,android,No driver has been allocated to my request.,Customer,1,10:15:31,1,,1,10:16:54,6,-1.319656,36.8151286,OnDemAND
Business,23332.0,Bike,Express,android,The driver is too far away.,Customer,1,10:18:47,1,,1,10:26:11,6,-1.3161559999999999,36.8172286,OnDemAND
Personal,-1.0,Bike,Express,android,The driver is too far away.,Customer,1,16:27:46,1,,1,16:30:10,8,-1.2606457,36.7897795,OnDemAND
Personal,-1.0,Bike,Standard,android,No driver has been allocated to my request.,Customer,1,09:50:52,1,,1,09:57:17,17,-1.2969153999999998,36.8014489,OnDemAND
Personal,-1.0,Bike,Standard,android,No driver has been allocated to my request.,Customer,1,10:37:32,1,,1,10:48:28,6,-1.2922868,36.7902675,OnDemAND
Business,17968.0,Bike,Express,desktop,I placed the wrong locations.,Customer,1,11:29:35,1,,1,11:29:42,7,-1.2625838,36.8117481,OnDemAND
Business,10780.0,Bike,Standard,desktop,No driver has been allocated to my request.,Customer,1,12:41:04,1,,1,12:41:11,10,-1.2582605,36.8018777,OnDemAND
Business,14992.0,Bike,Express,desktop,No driver has been allocated to my request.,Customer,1,16:14:23,1,16:15:29,1,16:55:16,7,-1.2199476999999999,36.8423295,OnDemAND
Personal,-1.0,Bike,Standard,android,No driver has been allocated to my request.,Customer,1,10:06:27,1,,1,10:11:05,16,-1.2212162,36.90343789999999,OnDemAND
Business,29236.0,Bike,Express,desktop,No driver has been allocated to my request.,Customer,1,08:22:12,1,,1,08:41:39,8,-1.2986062,36.826640999999995,OnDemAND
Personal,-1.0,Bike,Express,android,No driver has been allocated to my request.,Customer,1,21:29:37,1,,1,21:30:29,3,-1.2623837,36.8927847,OnDemAND
Business,40300.0,Bike,Express,desktop,No driver has been allocated to my request.,Customer,1,12:21:35,1,,1,13:27:12,17,-1.285515,36.901707,OnDemAND
Business,20680.0,Bike,Express,desktop,My order is not ready.,Customer,1,12:40:41,1,,1,12:53:17,6,-1.2554838,36.84233,OnDemAND
Business,20680.0,Bike,Express,desktop,My order is not ready.,Customer,1,13:58:57,1,,1,14:06:25,20,-1.2149006000000002,36.8874865,OnDemAND
Personal,-1.0,Bike,Standard,android,The driver is too far away.,Customer,1,16:31:45,1,,1,16:32:53,8,-1.2598457,36.792179499999996,OnDemAND
Personal,-1.0,Bike,Express,android,No driver has been allocated to my request.,Customer,1,14:58:21,1,,1,14:59:25,14,-1.3245992,36.7805132,OnDemAND
Personal,-1.0,Bike,Standard,android,No driver has been allocated to my request.,Customer,1,16:06:54,1,,1,16:08:38,8,-1.2675457,36.7900795,OnDemAND
Business,52840.0,Bike,Express,desktop,No Partner,Staff,1,12:14:34,1,12:15:33,1,13:26:13,12,-1.2744046999999998,36.8028744,OnDemAND
Business,20680.0,Bike,Express,desktop,My order is not ready.,Customer,1,14:30:06,1,14:30:50,1,14:32:34,3,-1.283695,36.821364,OnDemAND
Business,57544.0,Bike,Standard,API,No Partner,Staff,1,17:41:53,1,17:52:53,1,19:02:02,6,-1.3060770000000002,36.77813,OnDemAND
Business,20680.0,Bike,Express,desktop,No Partner,Staff,2,10:10:22,2,,2,03:00:00,7,-1.2637895000000001,36.7865034,Scheduled
Business,32692.0,Bike,Express,API,No Partner,Staff,1,18:02:08,1,19:10:57,1,19:15:02,0,-1.3259903999999998,36.8707943,OnDemAND
Business,20680.0,Bike,Standard,desktop,No Partner,Staff,1,13:11:22,1,13:26:53,1,14:59:00,20,-1.2650472,36.7938633,OnDemAND
Personal,-1.0,Bike,Standard,android,No driver has been allocated to my request.,Customer,1,15:03:48,1,,1,15:16:52,13,-1.237918,36.870224,OnDemAND
Personal,-1.0,Bike,Standard,android,No Partner,Staff,2,17:13:20,2,,2,03:00:01,18,-1.3452066,36.7600638,OnDemAND
Personal,-1.0,Bike,Standard,android,No Partner,Staff,1,14:20:33,1,15:13:49,1,15:29:38,15,-1.216126,36.8820938,OnDemAND
Business,27436.0,Bike,Standard,desktop,Delay,Staff,1,08:05:44,1,08:41:41,1,09:44:38,7,-1.256794,36.806124,OnDemAND
Personal,-1.0,Bike,Standard,ios,No Partner,Staff,1,08:27:54,1,08:41:41,1,08:53:11,8,-1.2547486,36.785954100000005,OnDemAND
Personal,-1.0,Bike,Standard,android,Delay,Staff,1,17:14:59,1,,1,19:24:32,6,-1.2876889999999999,36.83099,OnDemAND
Business,20680.0,Bike,Standard,desktop,Customer error,Staff,1,15:05:17,1,16:21:47,1,16:50:16,9,-1.2636895000000001,36.7881034,OnDemAND
Business,32692.0,Bike,Express,API,Customer error,Staff,1,15:22:31,1,15:30:36,1,15:49:35,0,-1.3314903999999999,36.875594299999996,OnDemAND
Personal,-1.0,Bike,Standard,android,No driver has been allocated to my request.,Customer,1,15:22:25,1,,1,15:22:37,1,-1.2569828,36.80685379999999,OnDemAND
Business,20680.0,Bike,Express,desktop,I placed the wrong locations.,Customer,1,09:00:48,1,09:02:53,1,09:23:08,7,-1.2593895,36.7851034,OnDemAND
Personal,-1.0,Bike,Express,android,No driver has been allocated to my request.,Customer,1,14:16:48,1,,1,14:18:08,16,-1.2838544,36.815897799999995,OnDemAND
Personal,-1.0,Bike,Express,desktop,Customer error,Staff,1,11:06:00,1,11:06:17,1,17:19:56,0,-1.3015066000000002,36.7757423,OnDemAND
Business,29236.0,Bike,Express,desktop,No driver has been allocated to my request.,Customer,1,14:39:05,1,14:40:02,1,15:20:31,5,-1.3089062,36.828741,OnDemAND
Personal,-1.0,Bike,Standard,android,I placed the wrong locations.,Customer,1,07:45:20,1,09:56:45,1,10:33:03,16,-1.2047151000000003,36.908094,OnDemAND
Business,17968.0,Bike,Express,desktop,My order is not ready.,Customer,1,12:35:07,1,12:35:38,1,12:37:11,17,-1.303721,36.830395,OnDemAND
Business,20680.0,Bike,Express,android,My order is not ready.,Customer,1,12:13:43,1,12:37:13,1,13:00:13,12,-1.2048728000000002,36.870731899999996,OnDemAND
Personal,-1.0,Bike,Standard,ios,No driver has been allocated to my request.,Customer,1,14:31:15,1,14:56:57,1,15:49:50,17,-1.2233436000000002,36.8555778,OnDemAND
Business,20680.0,Bike,Express,desktop,My order is not ready.,Customer,1,16:10:43,1,16:10:55,1,16:34:51,9,-1.3079264,36.819812299999995,OnDemAND
Personal,-1.0,Bike,Express,android,My order is not ready.,Customer,1,21:25:21,1,,1,21:26:19,1,-1.2777465000000001,36.826207399999994,OnDemAND
Business,32692.0,Bike,Express,API,No Partner,Staff,1,12:52:22,1,12:57:03,1,13:10:51,0,-1.3283904,36.8764943,OnDemAND
Personal,-1.0,Bike,Standard,android,No driver has been allocated to my request.,Customer,1,14:56:41,1,,1,14:57:51,2,-1.3039782,36.8250528,OnDemAND
Personal,-1.0,Bike,Standard,android,No Partner,Staff,2,19:21:26,2,,2,03:00:00,21,-1.3191958000000001,36.8805553,OnDemAND
Business,20680.0,Bike,Standard,desktop,No Partner,Staff,2,13:01:16,2,13:26:53,2,14:23:07,4,-1.2597895000000001,36.7898034,OnDemAND
Business,14992.0,Bike,Express,desktop,No driver has been allocated to my request.,Customer,1,14:30:02,1,14:30:31,1,14:37:50,17,-1.2624903,36.804813700000004,OnDemAND
Personal,-1.0,Bike,Standard,android,The driver is too far away.,Customer,1,15:51:10,1,16:12:44,1,16:17:29,9,-1.2625464,36.792527299999996,OnDemAND
Business,32692.0,Bike,Express,API,Customer error,Staff,1,15:42:43,1,15:51:38,1,16:10:13,0,-1.3285904,36.8768943,OnDemAND
Personal,-1.0,Bike,Express,android,I placed the wrong locations.,Customer,1,21:28:26,1,,1,21:28:51,7,-1.3300674,36.6706845,OnDemAND
Personal,-1.0,Bike,Express,android,My order is not ready.,Customer,1,12:14:55,1,,1,12:15:01,42,-1.2228006,36.8905865,OnDemAND
Business,30244.0,Bike,Express,desktop,My order is not ready.,Customer,1,09:52:44,1,09:54:37,1,10:07:32,2,-1.3052062,36.822941,OnDemAND
Personal,-1.0,Bike,Express,android,No driver has been allocated to my request.,Customer,1,13:57:29,1,,1,14:00:25,5,-1.2863812,36.821114200000004,OnDemAND
Business,57664.0,Bike,Express,desktop,No Partner,Staff,1,13:22:35,1,13:40:07,1,14:05:00,11,-1.3401066000000001,36.7663638,OnDemAND
Personal,-1.0,Bike,Standard,ios,The driver is too far away.,Customer,1,14:26:07,1,14:27:04,1,15:39:01,9,-1.2998061,36.756014799999996,OnDemAND
Personal,-1.0,Bike,Express,android,I placed the wrong locations.,Customer,1,21:50:26,1,,1,21:50:40,7,-1.3330674,36.6781845,OnDemAND
Personal,-1.0,Bike,Standard,android,I placed the wrong locations.,Customer,1,17:44:38,1,,1,17:49:25,21,-1.3301459,36.8868432,OnDemAND
Personal,-1.0,Bike,Standard,android,No Partner,Staff,5,12:20:48,5,14:10:02,5,18:35:10,5,-1.2889386999999999,36.797029200000004,Scheduled
Personal,-1.0,Bike,Standard,android,No Partner,Staff,1,12:20:07,1,12:57:16,1,13:37:17,8,-1.3130608999999998,36.8114365,OnDemAND
Personal,-1.0,Bike,Standard,android,No Partner,Staff,2,18:57:41,2,,2,03:00:00,21,-1.3182958,36.875555299999995,OnDemAND
Personal,-1.0,Bike,Standard,android,I placed the wrong locations.,Customer,1,09:51:13,1,10:42:28,1,11:25:27,15,-1.2612464,36.7908273,OnDemAND
Personal,-1.0,Bike,Standard,android,The driver is too far away.,Customer,1,14:23:56,1,,1,14:24:15,10,-1.3132584999999999,36.8120065,OnDemAND
Business,17968.0,Bike,Express,desktop,My order is not ready.,Customer,1,17:01:15,1,17:02:26,1,17:07:03,2,-1.3040209999999999,36.834895,OnDemAND
Business,32692.0,Bike,Express,API,No Partner,Staff,1,10:59:05,1,11:00:35,1,11:19:57,0,-1.3330904,36.8737943,OnDemAND
Business,26368.0,Bike,Express,desktop,No Partner,Staff,2,15:15:56,2,,2,03:00:01,6,-1.2980108,36.7814135,OnDemAND
Business,20680.0,Bike,Express,ios,I placed the wrong locations.,Customer,1,10:25:54,1,,1,10:27:11,38,-1.208046,36.7972976,OnDemAND
Business,20680.0,Bike,Express,ios,I placed the wrong locations.,Customer,1,10:28:01,1,,1,10:28:57,38,-1.2153459999999998,36.7940976,OnDemAND
Personal,-1.0,Bike,Standard,ios,No Partner,Staff,2,16:29:03,2,08:29:49,2,09:09:13,21,-1.3708766000000001,36.745225399999995,Scheduled
Personal,-1.0,Bike,Standard,desktop,My order is not ready.,Customer,1,10:14:06,1,10:42:28,1,11:55:13,2,-1.2652058000000002,36.8073903,OnDemAND
Business,32692.0,Bike,Express,API,No Partner,Staff,1,09:50:05,1,09:51:27,1,10:12:08,0,-1.3240903999999998,36.8737943,OnDemAND
Business,29296.0,Bike,Express,desktop,No driver has been allocated to my request.,Customer,1,10:01:37,1,,1,10:02:34,8,-1.2654573999999998,36.807303399999995,OnDemAND
Business,20680.0,Bike,Express,desktop,No driver has been allocated to my request.,Customer,1,09:23:31,1,,1,10:48:39,7,-1.2530895,36.7868034,OnDemAND
Business,30244.0,Bike,Express,desktop,My order is not ready.,Customer,1,14:57:57,1,,1,14:58:05,2,-1.2984062,36.821940999999995,OnDemAND
Personal,-1.0,Bike,Standard,android,No driver has been allocated to my request.,Customer,1,16:22:44,1,,1,16:27:27,4,-1.2586286,36.7993511,OnDemAND
Business,19924.0,Bike,Standard,desktop,No Partner,Staff,2,18:31:01,2,,2,03:00:00,22,-1.2221006,36.8937865,OnDemAND
Business,32692.0,Bike,Express,API,Customer error,Staff,1,11:04:37,1,,1,11:35:16,0,-1.3297903999999998,36.8696943,OnDemAND
Personal,-1.0,Bike,Standard,ios,No Partner,Staff,2,15:56:25,2,16:12:29,2,03:00:01,3,-1.2955444999999999,36.7529778,OnDemAND
Business,20680.0,Bike,Express,desktop,No Partner,Staff,2,18:04:43,2,09:24:33,2,10:00:09,21,-1.2532895,36.7803034,Scheduled
Business,20680.0,Bike,Express,desktop,My order is not ready.,Customer,1,09:35:31,1,09:36:09,1,10:02:44,6,-1.2812028999999998,36.828705,OnDemAND
Personal,-1.0,Bike,Standard,ios,The driver is too far away.,Customer,1,10:36:07,1,10:42:28,1,12:05:15,11,-1.2112886,36.849206099999996,OnDemAND
Personal,-1.0,Bike,Standard,android,My order is not ready.,Customer,1,16:09:22,1,,1,16:09:31,6,-1.2932846000000002,36.799159100000004,OnDemAND
Business,32692.0,Bike,Express,API,No Partner,Staff,2,18:02:12,2,,2,03:00:00,0,-1.3287904,36.8676943,OnDemAND
Business,18508.0,Bike,Express,desktop,My order is not ready.,Customer,1,09:19:48,1,,1,09:20:24,3,-1.3007097,36.7754221,OnDemAND
Personal,-1.0,Bike,Standard,android,No driver has been allocated to my request.,Customer,1,11:50:52,1,,1,11:54:04,8,-1.2524066,36.78316220000001,OnDemAND
Business,17968.0,Bike,Express,desktop,My order is not ready.,Customer,1,15:37:12,1,15:37:40,1,15:44:01,8,-1.3066209999999998,36.830595,OnDemAND
Personal,-1.0,Bike,Standard,android,I placed the wrong locations.,Customer,1,19:16:36,1,,1,19:36:57,10,-1.32819,36.853472700000005,OnDemAND
Personal,-1.0,Bike,Standard,android,The driver is too far away.,Customer,1,15:37:11,1,15:55:28,1,16:05:21,19,-1.2892232,36.770557200000006,OnDemAND
Business,32692.0,Bike,Express,API,Customer error,Staff,1,15:42:23,1,,1,16:10:56,0,-1.3236903999999998,36.866394299999996,OnDemAND
Personal,-1.0,Bike,Standard,ios,The driver is too far away.,Customer,2,16:33:17,2,08:29:50,2,08:31:59,21,-1.3732766,36.74922539999999,Scheduled
Business,17968.0,Bike,Express,desktop,Customer error,Staff,1,11:07:13,1,12:03:24,1,13:08:36,5,-1.309121,36.830295,OnDemAND
Business,39448.0,Bike,Express,desktop,No driver has been allocated to my request.,Customer,1,10:27:55,1,,1,10:28:40,48,-1.2633666000000001,36.8006369,OnDemAND
Personal,-1.0,Bike,Standard,ios,No Partner,Staff,2,09:46:42,2,07:58:00,2,10:11:42,3,-1.2849195,36.7951316,Scheduled
Business,39592.0,Bike,Express,desktop,I placed the wrong locations.,Customer,1,09:46:39,1,,1,09:48:49,11,-1.2841931,36.6662229,OnDemAND
Business,20680.0,Bike,Express,android,The driver is too far away.,Customer,1,06:57:21,1,07:35:02,1,07:56:30,17,-1.3467066,36.7695638,OnDemAND
Business,23092.0,Bike,Express,desktop,No driver has been allocated to my request.,Customer,1,09:43:45,1,09:45:22,1,09:45:23,14,-1.3048741000000001,36.7841612,OnDemAND
Business,39448.0,Bike,Express,android,My order is not ready.,Customer,1,10:19:27,1,,1,10:19:40,48,-1.2612638,36.8085399,OnDemAND
Personal,-1.0,Bike,Standard,android,I placed the wrong locations.,Customer,1,15:46:00,1,,1,15:46:26,8,-1.2972832,36.7935683,OnDemAND
Business,29236.0,Bike,Express,desktop,My order is not ready.,Customer,1,12:17:24,1,12:23:22,1,12:39:10,11,-1.3247113000000001,36.837556299999996,OnDemAND
Personal,-1.0,Bike,Standard,android,No driver has been allocated to my request.,Customer,1,12:19:01,1,,1,12:19:59,9,-1.2720316,36.7886222,OnDemAND
Personal,-1.0,Bike,Standard,android,No driver has been allocated to my request.,Customer,1,09:47:05,1,,1,09:56:34,9,-1.3109855,36.831484700000004,OnDemAND
Business,39448.0,Bike,Express,desktop,No driver has been allocated to my request.,Customer,1,10:24:12,1,,1,10:25:02,48,-1.2583666,36.8059369,OnDemAND
Business,29236.0,Bike,Express,desktop,I placed the wrong locations.,Customer,1,12:53:04,1,13:21:24,1,13:21:29,4,-1.3058869,36.844520700000004,OnDemAND
Personal,-1.0,Bike,Standard,android,I placed the wrong locations.,Customer,1,09:39:44,1,,1,10:08:50,21,-1.3229125,36.709215,OnDemAND
Personal,-1.0,Bike,Standard,android,No driver has been allocated to my request.,Customer,1,08:37:51,1,,1,09:16:56,2,-1.2675028,36.8079849,OnDemAND
Personal,-1.0,Bike,Standard,android,No Partner,Staff,2,11:33:45,2,,2,03:00:01,20,-1.276725,36.810106,OnDemAND
Personal,-1.0,Bike,Express,android,My order is not ready.,Customer,1,09:13:53,1,,1,09:16:39,6,-1.2732370000000002,36.796112,OnDemAND
Business,13804.0,Bike,Standard,android,No Partner,Staff,2,11:38:23,2,,2,03:00:01,19,-1.3665481000000002,36.745925899999996,OnDemAND
Personal,-1.0,Bike,Express,desktop,No Partner,Staff,1,12:48:02,1,12:48:34,1,13:01:10,1,-1.2998097,36.7712221,OnDemAND
Personal,-1.0,Bike,Standard,android,I placed the wrong locations.,Customer,1,12:20:39,1,,1,12:20:52,3,-1.2646414,36.7761019,OnDemAND
Business,20680.0,Bike,Express,desktop,My order is not ready.,Customer,1,09:45:54,1,,1,09:46:09,23,-1.2607472,36.796163299999996,OnDemAND
Personal,-1.0,Bike,Standard,android,No Partner,Staff,2,11:31:06,2,,2,03:00:01,13,-1.3264394,36.777434299999996,OnDemAND
Business,39592.0,Bike,Express,desktop,No driver has been allocated to my request.,Customer,1,08:31:04,1,08:39:34,1,09:46:12,11,-1.2828931000000001,36.6673229,OnDemAND
